Rank,Median Household Income ▼,Zip,Population
308,"86,031.00",95065,"8,331"
309,"85,914.00",92596,"26,044"
310,"85,857.00",92648,"46,623"
311,"85,707.00",92126,"78,201"
312,"85,655.00",91001,"37,481"
313,"85,514.00",95121,"38,603"
314,"85,361.00",92860,"27,304"
315,"85,330.00",94115,"34,556"
316,"85,251.00",92865,"19,715"
317,"85,200.00",93551,"50,572"
318,"85,000.00",94548,400
318,"85,000.00",94586,984
320,"84,828.00",94116,"45,552"
321,"84,819.00",94521,"41,138"
322,"84,785.00",92630,"59,657"
323,"84,761.00",91107,"31,828"
324,"84,750.00",92676,"2,033"
325,"84,741.00",91913,"43,655"
326,"84,620.00",91775,"25,395"
327,"84,588.00",90293,"11,997"
328,"84,537.00",90732,"19,810"
329,"84,516.00",90212,"12,415"
330,"84,488.00",94110,"71,422"
331,"84,250.00",92678,427
332,"84,133.00",95650,"12,255"
333,"84,051.00",90630,"48,844"
334,"84,021.00",91006,"32,392"
335,"84,004.00",90245,"16,839"
336,"83,974.00",93063,"56,687"
337,"83,902.00",95003,"24,383"
338,"83,767.00",90623,"15,767"
339,"83,638.00",94945,"17,973"
340,"83,542.00",94158,"5,530"
341,"83,467.00",95864,"22,698"
342,"83,269.00",92210,"4,839"
343,"83,194.00",93465,"9,652"
344,"83,038.00",93035,"26,966"
345,"82,993.00",94118,"40,102"
346,"82,917.00",93605,201
347,"82,857.00",92662,"3,018"
348,"82,748.00",95020,"59,666"
349,"82,675.00",92705,"46,163"
350,"82,564.00",94587,"71,675"
351,"82,313.00",90505,"37,381"
352,"82,076.00",91387,"42,518"
353,"82,005.00",92708,"57,441"
354,"81,980.00",94954,"36,624"
355,"81,973.00",92106,"19,539"
356,"81,918.00",94503,"20,116"
357,"81,907.00",94061,"37,667"
358,"81,879.00",94947,"25,969"
359,"81,860.00",95688,"35,820"
360,"81,788.00",94574,"9,300"
361,"81,746.00",94706,"20,206"
362,"81,685.00",94523,"34,428"
363,"81,667.00",94525,"3,151"
364,"81,622.00",94038,"3,435"
365,"81,471.00",95618,"27,222"
366,"81,379.00",91901,"18,184"
367,"81,369.00",94066,"42,100"
368,"81,328.00",96073,"4,502"
369,"81,308.00",93105,"24,967"
370,"81,250.00",91741,"25,678"
371,"81,093.00",95492,"29,629"
372,"81,025.00",90291,"27,803"
373,"80,729.00",92384,34
374,"80,625.00",92124,"30,196"
375,"80,479.00",91030,"25,914"
376,"80,449.00",95835,"39,073"
377,"80,341.00",94104,223
378,"80,327.00",94542,"12,498"
379,"80,313.00",96106,275
380,"80,288.00",93962,939
381,"80,279.00",91311,"37,769"
382,"80,278.00",90620,"45,992"
383,"80,233.00",94005,"4,421"
383,"80,233.00",95624,"63,131"
385,"80,163.00",92821,"37,580"
386,"80,133.00",95073,"10,849"
387,"80,132.00",92626,"51,575"
388,"80,130.00",92377,"19,750"
389,"80,037.00",92870,"53,474"
390,"79,895.00",92120,"25,365"
391,"79,858.00",90638,"49,543"
392,"79,525.00",90815,"40,572"
393,"79,485.00",94963,461
394,"79,457.00",95372,"1,969"
395,"79,348.00",92082,"19,825"
396,"79,327.00",95664,"1,135"
397,"79,121.00",95693,"5,943"
398,"78,856.00",94596,"20,778"
399,"78,756.00",90405,"28,535"
400,"78,750.00",96061,19
401,"78,676.00",94619,"24,146"
402,"78,640.00",95304,"17,971"
403,"78,630.00",92561,"1,600"
404,"78,607.00",90069,"20,426"
405,"78,564.00",94015,"62,941"
406,"78,558.00",95251,874
407,"78,501.00",91773,"33,869"
408,"78,378.00",94080,"66,002"
409,"78,175.00",90712,"32,015"
410,"78,116.00",92506,"45,993"
411,"78,114.00",95452,"1,314"
412,"78,082.00",90045,"41,453"
413,"78,072.00",92867,"44,569"
414,"77,930.00",93611,"48,597"
415,"77,706.00",94561,"38,481"
416,"77,679.00",91505,"31,133"
416,"77,679.00",93424,853
418,"77,583.00",95918,"1,805"
419,"77,416.00",95682,"29,972"
420,"77,361.00",92065,"36,039"
421,"77,305.00",94923,736
422,"77,250.00",93928,362
423,"77,247.00",91344,"53,165"
424,"77,188.00",95699,148
425,"77,152.00",91367,"42,029"
426,"77,105.00",92563,"57,605"
427,"77,092.00",93720,"46,153"
428,"77,047.00",90503,"45,518"
429,"76,994.00",91701,"40,822"
430,"76,912.00",91750,"33,969"
431,"76,909.00",94901,"42,027"
432,"76,688.00",90056,"8,380"
433,"76,669.00",94553,"48,891"
434,"76,542.00",95236,"3,829"
435,"76,526.00",92251,"22,348"
436,"76,447.00",91745,"55,237"
437,"76,389.00",95722,"4,524"
438,"76,232.00",94803,"25,998"
439,"76,027.00",93004,"30,417"
440,"75,928.00",92584,"46,346"
441,"75,915.00",93110,"17,321"
442,"75,862.00",93067,641
443,"75,750.00",95637,694
444,"75,714.00",95697,554
445,"75,671.00",91423,"32,130"
446,"75,556.00",95639,311
447,"75,510.00",95006,"9,162"
448,"75,500.00",94546,"43,448"
449,"75,481.00",94579,"21,842"
450,"75,448.00",92562,"63,293"
451,"75,420.00",91724,"25,405"
452,"75,411.00",92672,"35,041"
453,"75,380.00",93066,"3,179"
454,"75,334.00",91403,"24,353"
455,"75,327.00",90035,"31,399"
456,"75,309.00",95219,"28,354"
457,"75,300.00",95366,"16,734"
458,"75,221.00",94952,"35,081"
459,"75,180.00",90504,"32,777"
460,"75,172.00",96161,"18,475"
461,"75,163.00",95625,200
462,"75,160.00",93636,"11,919"
463,"75,031.00",90746,"26,738"
464,"74,797.00",92019,"44,357"
465,"74,637.00",92647,"59,741"
